!9/11/2017.2:20:37.PM
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S21               	S12               	S21               	S22               
!GRAPH:       	LOGMAG.PHASE      	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
PNT	FREQ1.GHZ	LOGMAG1	PHASE1.DEG	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
43	0.014056828	2.058743E+001	-60.6047300	0.014056828	-7.098240E+001	0.014056828	2.058743E+001	0.014056828	-2.512879E-001
44	0.014171259	2.058802E+001	-61.0851500	0.014171259	-7.224402E+001	0.014171259	2.058802E+001	0.014171259	-2.179669E-001
45	0.014286623	2.059037E+001	-61.5608400	0.014286623	-6.669505E+001	0.014286623	2.059037E+001	0.014286623	-1.743944E-001
46	0.014402925	2.059231E+001	-62.0477500	0.014402925	-7.670194E+001	0.014402925	2.059231E+001	0.014402925	-1.412577E-001
47	0.014520174	2.059315E+001	-62.5250200	0.014520174	-6.595813E+001	0.014520174	2.059315E+001	0.014520174	-1.024657E-001
48	0.014638378	2.059508E+001	-63.0181700	0.014638378	-7.975772E+001	0.014638378	2.059508E+001	0.014638378	-6.194894E-002
49	0.014757544	2.059385E+001	-63.5220000	0.014757544	-8.117532E+001	0.014757544	2.059385E+001	0.014757544	-2.192345E-002
50	0.014877680	2.059541E+001	-64.0056700	0.014877680	-6.599527E+001	0.014877680	2.059541E+001	0.014877680	1.630134E-002
51	0.014998794	2.059336E+001	-64.5411000	0.014998794	-7.043246E+001	0.014998794	2.059336E+001	0.014998794	6.083214E-002
52	0.015120894	2.059767E+001	-65.0249500	0.015120894	-6.625124E+001	0.015120894	2.059767E+001	0.015120894	9.769344E-002
53	0.015243988	2.059472E+001	-65.5342200	0.015243988	-6.968448E+001	0.015243988	2.059472E+001	0.015243988	1.401396E-001
54	0.015368084	2.060225E+001	-66.0515400	0.015368084	-6.550420E+001	0.015368084	2.060225E+001	0.015368084	1.759991E-001
55	0.015493190	2.060111E+001	-66.5647100	0.015493190	-6.696720E+001	0.015493190	2.060111E+001	0.015493190	2.251891E-001
56	0.015619315	2.060076E+001	-67.0755800	0.015619315	-8.037093E+001	0.015619315	2.060076E+001	0.015619315	2.590432E-001
57	0.015746466	2.060576E+001	-67.5937700	0.015746466	-8.444833E+001	0.015746466	2.060576E+001	0.015746466	3.020494E-001
58	0.015874652	2.060344E+001	-68.1333700	0.015874652	-7.782249E+001	0.015874652	2.060344E+001	0.015874652	3.433314E-001
59	0.016003882	2.060664E+001	-68.6871900	0.016003882	-6.743475E+001	0.016003882	2.060664E+001	0.016003882	3.867877E-001
60	0.016134164	2.060485E+001	-69.2354000	0.016134164	-7.211963E+001	0.016134164	2.060485E+001	0.016134164	4.253098E-001
61	0.016265507	2.060479E+001	-69.7777400	0.016265507	-6.642184E+001	0.016265507	2.060479E+001	0.016265507	4.697719E-001
62	0.016397919	2.061098E+001	-70.2728300	0.016397919	-7.652921E+001	0.016397919	2.061098E+001	0.016397919	5.124450E-001
63	0.016531409	2.060651E+001	-70.8587100	0.016531409	-8.358568E+001	0.016531409	2.060651E+001	0.016531409	5.569333E-001
64	0.016665985	2.061238E+001	-71.4152100	0.016665985	-6.977338E+001	0.016665985	2.061238E+001	0.016665985	5.927845E-001
65	0.016801657	2.061313E+001	-72.0053400	0.016801657	-7.537624E+001	0.016801657	2.061313E+001	0.016801657	6.380038E-001
66	0.016938433	2.061214E+001	-72.5336300	0.016938433	-7.265844E+001	0.016938433	2.061214E+001	0.016938433	6.752195E-001
67	0.017076323	2.061956E+001	-73.1144500	0.017076323	-6.387764E+001	0.017076323	2.061956E+001	0.017076323	7.130606E-001
68	0.017215336	2.062065E+001	-73.7027900	0.017215336	-7.384291E+001	0.017215336	2.062065E+001	0.017215336	7.594127E-001
69	0.017355480	2.062121E+001	-74.2765300	0.017355480	-7.468764E+001	0.017355480	2.062121E+001	0.017355480	8.071541E-001
70	0.017496765	2.062243E+001	-74.8731700	0.017496765	-7.392688E+001	0.017496765	2.062243E+001	0.017496765	8.427740E-001
71	0.017639200	2.062511E+001	-75.4639600	0.017639200	-6.546346E+001	0.017639200	2.062511E+001	0.017639200	8.909727E-001
72	0.017782794	2.062652E+001	-76.0693400	0.017782794	-6.877981E+001	0.017782794	2.062652E+001	0.017782794	9.355795E-001
73	0.017927558	2.062780E+001	-76.6529100	0.017927558	-7.731532E+001	0.017927558	2.062780E+001	0.017927558	9.728866E-001
74	0.018073500	2.062778E+001	-77.2713700	0.018073500	-8.058275E+001	0.018073500	2.062778E+001	0.018073500	1.012989E+000
75	0.018220630	2.063100E+001	-77.8552400	0.018220630	-6.539217E+001	0.018220630	2.063100E+001	0.018220630	1.056633E+000
76	0.018368957	2.062900E+001	-78.4525700	0.018368957	-7.283733E+001	0.018368957	2.062900E+001	0.018368957	1.105673E+000
77	0.018518493	2.063423E+001	-79.0750400	0.018518493	-7.732230E+001	0.018518493	2.063423E+001	0.018518493	1.150545E+000
78	0.018669245	2.063644E+001	-79.7268500	0.018669245	-7.033338E+001	0.018669245	2.063644E+001	0.018669245	1.189060E+000
79	0.018821225	2.064046E+001	-80.3622300	0.018821225	-6.763224E+001	0.018821225	2.064046E+001	0.018821225	1.235085E+000
80	0.018974442	2.063971E+001	-80.9879200	0.018974442	-7.287412E+001	0.018974442	2.063971E+001	0.018974442	1.284876E+000
81	0.019128906	2.060386E+001	-81.4520800	0.019128906	-7.836848E+001	0.019128906	2.060386E+001	0.019128906	1.186569E+000
82	0.019284628	2.060447E+001	-82.1093900	0.019284628	-6.737677E+001	0.019284628	2.060447E+001	0.019284628	1.231663E+000
83	0.019441617	2.060934E+001	-82.7323300	0.019441617	-7.181415E+001	0.019441617	2.060934E+001	0.019441617	1.269397E+000
84	0.019599885	2.061149E+001	-83.4030800	0.019599885	-8.134799E+001	0.019599885	2.061149E+001	0.019599885	1.315678E+000
85	0.019759441	2.065423E+001	-84.2389200	0.019759441	-7.183670E+001	0.019759441	2.065423E+001	0.019759441	1.499836E+000
86	0.019920295	2.065582E+001	-84.9099300	0.019920295	-7.505822E+001	0.019920295	2.065582E+001	0.019920295	1.547462E+000
87	0.020082460	2.065647E+001	-85.5727000	0.020082460	-6.769794E+001	0.020082460	2.065647E+001	0.020082460	1.586633E+000
88	0.020245944	2.066036E+001	-86.2687500	0.020245944	-7.166437E+001	0.020245944	2.066036E+001	0.020245944	1.637383E+000
89	0.020410759	2.066445E+001	-86.9213700	0.020410759	-6.963997E+001	0.020410759	2.066445E+001	0.020410759	1.676951E+000
90	0.020576916	2.066423E+001	-87.6110400	0.020576916	-6.901927E+001	0.020576916	2.066423E+001	0.020576916	1.722947E+000
91	0.020744425	2.067049E+001	-88.3200900	0.020744425	-7.207997E+001	0.020744425	2.067049E+001	0.020744425	1.764894E+000
92	0.020913298	2.066806E+001	-89.0206500	0.020913298	-6.848399E+001	0.020913298	2.066806E+001	0.020913298	1.817921E+000
93	0.021083546	2.067315E+001	-89.7448000	0.021083546	-6.957788E+001	0.021083546	2.067315E+001	0.021083546	1.861262E+000
94	0.021255180	2.067673E+001	-90.4635200	0.021255180	-7.351751E+001	0.021255180	2.067673E+001	0.021255180	1.905407E+000
95	0.021428211	2.067538E+001	-91.1942300	0.021428211	-7.582626E+001	0.021428211	2.067538E+001	0.021428211	1.950668E+000
96	0.021602651	2.067956E+001	-91.9011100	0.021602651	-8.589200E+001	0.021602651	2.067956E+001	0.021602651	1.996122E+000
97	0.021778510	2.068330E+001	-92.6338700	0.021778510	-6.915569E+001	0.021778510	2.068330E+001	0.021778510	2.039272E+000
98	0.021955802	2.068437E+001	-93.3675200	0.021955802	-7.272216E+001	0.021955802	2.068437E+001	0.021955802	2.086987E+000
99	0.022134536	2.068968E+001	-94.0781800	0.022134536	-6.612679E+001	0.022134536	2.068968E+001	0.022134536	2.135189E+000
100	0.022314726	2.069224E+001	-94.8335500	0.022314726	-7.585956E+001	0.022314726	2.069224E+001	0.022314726	2.175857E+000
101	0.022496382	2.069519E+001	-95.6086900	0.022496382	-6.812962E+001	0.022496382	2.069519E+001	0.022496382	2.229854E+000
102	0.022679517	2.069988E+001	-96.3643600	0.022679517	-9.273965E+001	0.022679517	2.069988E+001	0.022679517	2.273770E+000
103	0.022864143	2.070381E+001	-97.1081700	0.022864143	-6.745424E+001	0.022864143	2.070381E+001	0.022864143	2.320230E+000
104	0.023050272	2.070281E+001	-97.8816900	0.023050272	-6.725005E+001	0.023050272	2.070281E+001	0.023050272	2.378983E+000
105	0.023237916	2.070995E+001	-98.6744600	0.023237916	-7.481090E+001	0.023237916	2.070995E+001	0.023237916	2.417708E+000
106	0.023427088	2.071638E+001	-99.4377500	0.023427088	-6.971893E+001	0.023427088	2.071638E+001	0.023427088	2.466994E+000
107	0.023617800	2.071658E+001	-100.2375000	0.023617800	-6.524529E+001	0.023617800	2.071658E+001	0.023617800	2.514095E+000
108	0.023810064	2.072575E+001	-101.0421000	0.023810064	-6.755482E+001	0.023810064	2.072575E+001	0.023810064	2.562013E+000
109	0.024003893	2.072378E+001	-101.8351000	0.024003893	-7.609840E+001	0.024003893	2.072378E+001	0.024003893	2.608154E+000
110	0.024199301	2.072540E+001	-102.6231000	0.024199301	-8.023048E+001	0.024199301	2.072540E+001	0.024199301	2.651391E+000
111	0.024396299	2.073311E+001	-103.4530000	0.024396299	-6.964077E+001	0.024396299	2.073311E+001	0.024396299	2.697923E+000
112	0.024594901	2.073795E+001	-104.2900000	0.024594901	-6.768161E+001	0.024594901	2.073795E+001	0.024594901	2.739160E+000
113	0.024795119	2.074123E+001	-105.0868000	0.024795119	-6.913705E+001	0.024795119	2.074123E+001	0.024795119	2.786768E+000
114	0.024996967	2.074502E+001	-105.9461000	0.024996967	-6.421007E+001	0.024996967	2.074502E+001	0.024996967	2.830558E+000
115	0.025200459	2.075735E+001	-106.8086000	0.025200459	-6.581367E+001	0.025200459	2.075735E+001	0.025200459	2.874183E+000
116	0.025405607	2.076195E+001	-107.6392000	0.025405607	-7.029655E+001	0.025405607	2.076195E+001	0.025405607	2.911895E+000
117	0.025612425	2.076484E+001	-108.5286000	0.025612425	-6.806930E+001	0.025612425	2.076484E+001	0.025612425	2.949008E+000
118	0.025820927	2.076824E+001	-109.4188000	0.025820927	-8.086327E+001	0.025820927	2.076824E+001	0.025820927	2.993757E+000
119	0.026031126	2.077402E+001	-110.2760000	0.026031126	-6.450921E+001	0.026031126	2.077402E+001	0.026031126	3.037410E+000
120	0.026243037	2.077965E+001	-111.1553000	0.026243037	-6.399432E+001	0.026243037	2.077965E+001	0.026243037	3.077669E+000
121	0.026456672	2.078376E+001	-112.0616000	0.026456672	-6.918941E+001	0.026456672	2.078376E+001	0.026456672	3.123751E+000
122	0.026672046	2.079040E+001	-112.9475000	0.026672046	-7.054682E+001	0.026672046	2.079040E+001	0.026672046	3.163838E+000
123	0.026889174	2.079522E+001	-113.8933000	0.026889174	-6.979243E+001	0.026889174	2.079522E+001	0.026889174	3.204007E+000
124	0.027108070	2.080055E+001	-114.7627000	0.027108070	-7.360632E+001	0.027108070	2.080055E+001	0.027108070	3.248426E+000
125	0.027328747	2.080937E+001	-115.7204000	0.027328747	-7.275876E+001	0.027328747	2.080937E+001	0.027328747	3.291796E+000
126	0.027551221	2.081104E+001	-116.6368000	0.027551221	-7.754182E+001	0.027551221	2.081104E+001	0.027551221	3.329892E+000
127	0.027775506	2.081450E+001	-117.5687000	0.027775506	-6.244833E+001	0.027775506	2.081450E+001	0.027775506	3.378723E+000
128	0.028001616	2.082543E+001	-118.5443000	0.028001616	-6.786580E+001	0.028001616	2.082543E+001	0.028001616	3.425219E+000
129	0.028229568	2.082958E+001	-119.4872000	0.028229568	-6.491271E+001	0.028229568	2.082958E+001	0.028229568	3.463803E+000
