!9/11/2017.2:18:52.PM
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S21               	S12               	S21               	S22               
!GRAPH:       	LOGMAG.PHASE      	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
PNT	FREQ1.GHZ	LOGMAG1	PHASE1.DEG	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
1	0.010000000	1.420711E+001	142.1332000	0.010000000	-6.007086E+001	0.010000000	1.420711E+001	0.010000000	-2.390136E+000
2	0.010081407	1.424843E+001	141.6554000	0.010081407	-5.936298E+001	0.010081407	1.424843E+001	0.010081407	-2.220976E+000
3	0.010163476	1.425362E+001	141.3906000	0.010163476	-5.955259E+001	0.010163476	1.425362E+001	0.010163476	-2.195179E+000
4	0.010246213	1.424629E+001	141.0710000	0.010246213	-5.643522E+001	0.010246213	1.424629E+001	0.010246213	-2.175244E+000
5	0.010329624	1.424654E+001	140.7849000	0.010329624	-6.161310E+001	0.010329624	1.424654E+001	0.010329624	-2.144580E+000
6	0.010413714	1.424924E+001	140.4624000	0.010413714	-5.745430E+001	0.010413714	1.424924E+001	0.010413714	-2.125756E+000
7	0.010498488	1.424566E+001	140.1417000	0.010498488	-5.485421E+001	0.010498488	1.424566E+001	0.010498488	-2.090429E+000
8	0.010583953	1.424672E+001	139.8754000	0.010583953	-5.879175E+001	0.010583953	1.424672E+001	0.010583953	-2.071765E+000
9	0.010670113	1.425095E+001	139.5728000	0.010670113	-5.819619E+001	0.010670113	1.425095E+001	0.010670113	-2.046731E+000
10	0.010756975	1.424636E+001	139.2504000	0.010756975	-5.991953E+001	0.010756975	1.424636E+001	0.010756975	-2.015571E+000
11	0.010844543	1.425035E+001	138.9452000	0.010844543	-6.020354E+001	0.010844543	1.425035E+001	0.010844543	-1.985557E+000
12	0.010932825	1.424586E+001	138.6243000	0.010932825	-5.953902E+001	0.010932825	1.424586E+001	0.010932825	-1.964900E+000
13	0.011021825	1.424447E+001	138.3070000	0.011021825	-5.566894E+001	0.011021825	1.424447E+001	0.011021825	-1.933394E+000
14	0.011111550	1.424648E+001	137.9997000	0.011111550	-5.948055E+001	0.011111550	1.424648E+001	0.011111550	-1.898130E+000
15	0.011202005	1.425179E+001	137.6945000	0.011202005	-5.907725E+001	0.011202005	1.425179E+001	0.011202005	-1.868491E+000
16	0.011293197	1.425053E+001	137.3775000	0.011293197	-5.572683E+001	0.011293197	1.425053E+001	0.011293197	-1.845208E+000
17	0.011385131	1.425367E+001	137.0236000	0.011385131	-5.719392E+001	0.011385131	1.425367E+001	0.011385131	-1.812457E+000
18	0.011477813	1.425194E+001	136.6960000	0.011477813	-5.829561E+001	0.011477813	1.425194E+001	0.011477813	-1.782192E+000
