!9/13/2017.11:18:21.AM
!RF.CORRECTION: 12.TERM.CAL
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG.PHASE      	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	PHASE3.DEG	FREQ4.GHZ	LOGMAG4
41	0.001318257	-3.213764E+001	0.001318257	-8.471000E+001	0.001318257	-5.958363E+000	-179.9373000	0.001318257	-3.003078E+001
42	0.001327394	-3.217067E+001	0.001327394	-8.483424E+001	0.001327394	-5.961802E+000	-179.9243000	0.001327394	-3.000057E+001
43	0.001336596	-3.217505E+001	0.001336596	-7.815963E+001	0.001336596	-5.964618E+000	-179.9851000	0.001336596	-3.005695E+001
44	0.001345860	-3.218285E+001	0.001345860	-9.046868E+001	0.001345860	-5.958033E+000	-179.9342000	0.001345860	-3.001228E+001
45	0.001355189	-3.221358E+001	0.001355189	-9.802307E+001	0.001355189	-5.957376E+000	-179.9244000	0.001355189	-3.005816E+001
46	0.001364583	-3.217474E+001	0.001364583	-8.147449E+001	0.001364583	-5.957694E+000	-179.9554000	0.001364583	-3.006876E+001
47	0.001374042	-3.218339E+001	0.001374042	-9.660939E+001	0.001374042	-5.948999E+000	-179.9945000	0.001374042	-3.002769E+001
48	0.001383566	-3.223461E+001	0.001383566	-9.210982E+001	0.001383566	-5.955753E+000	-179.9720000	0.001383566	-3.005325E+001
49	0.001393157	-3.224122E+001	0.001393157	-9.426568E+001	0.001393157	-5.954244E+000	-179.9854000	0.001393157	-3.006259E+001
50	0.001402814	-3.219115E+001	0.001402814	-8.240033E+001	0.001402814	-5.949684E+000	-179.9804000	0.001402814	-3.012101E+001
51	0.001412538	-3.214214E+001	0.001412538	-9.271762E+001	0.001412538	-5.952402E+000	179.9810000	0.001412538	-3.010246E+001
52	0.001422329	-3.213343E+001	0.001422329	-9.011063E+001	0.001422329	-5.962271E+000	179.9816000	0.001422329	-3.012337E+001
53	0.001432188	-3.214624E+001	0.001432188	-9.841538E+001	0.001432188	-5.954509E+000	179.9137000	0.001432188	-3.014400E+001
54	0.001442115	-3.216847E+001	0.001442115	-8.581211E+001	0.001442115	-5.960063E+000	179.9227000	0.001442115	-3.013754E+001
